,current_focus_point,time
0,0,1710159864.086648
1,0,1710159864.0880907
2,0,1710159864.0890589
3,0,1710159864.0896945
4,0,1710159864.0903308
5,0,1710159864.0907788
6,0,1710159864.0912275
7,0,1710159864.0916426
8,0,1710159864.092088
9,0,1710159864.092706
10,0,1710159864.0933964
11,0,1710159864.094196
12,0,1710159864.0947835
13,0,1710159864.095208
14,0,1710159864.0956218
15,0,1710159864.0960147
16,0,1710159864.0964286
17,0,1710159864.096866
18,0,1710159864.0972774
19,0,1710159864.0976844
20,0,1710159864.0981
21,0,1710159864.098543
22,0,1710159864.0989673
23,0,1710159864.099387
24,0,1710159864.0998237
25,0,1710159864.100317
26,0,1710159864.1008463
27,0,1710159864.1013267
28,0,1710159864.1018221
29,0,1710159864.1022425
30,0,1710159864.10274
31,0,1710159864.1035337
32,0,1710159864.10438
33,0,1710159864.1049225
34,0,1710159864.1054077
35,0,1710159864.1059353
36,0,1710159864.1063988
37,0,1710159864.1068661
38,0,1710159864.1073093
39,0,1710159864.107816
40,0,1710159864.1084523
41,0,1710159864.10909
42,0,1710159864.1097474
43,0,1710159864.1103337
44,0,1710159864.110969
45,0,1710159864.1115975
46,0,1710159864.1122482
47,0,1710159864.1128376
48,0,1710159864.1134326
49,0,1710159864.1140227
50,0,1710159864.1146073
51,0,1710159864.115223
52,0,1710159864.11584
53,0,1710159864.1164317
54,0,1710159864.117055
55,0,1710159864.1176436
56,0,1710159864.1182258
57,0,1710159864.118781
58,0,1710159864.1192446
59,0,1710159864.1196897
60,0,1710159864.1201735
61,0,1710159864.1206121
62,0,1710159864.121037
63,0,1710159864.1214654
64,0,1710159864.1218739
65,0,1710159864.1223123
66,0,1710159864.12279
67,0,1710159864.1232138
68,0,1710159864.1236095
69,0,1710159864.1240182
70,0,1710159864.124465
71,0,1710159864.1248882
72,0,1710159864.1252954
73,0,1710159864.1257436
74,0,1710159864.126165
75,0,1710159864.1265814
76,0,1710159864.1270044
77,0,1710159864.1274316
78,0,1710159864.1278446
79,0,1710159864.1282558
80,0,1710159864.1288643
81,0,1710159864.129457
82,0,1710159864.1298945
83,0,1710159864.130318
84,0,1710159864.130895
85,0,1710159864.1313503
86,0,1710159864.1317587
87,0,1710159864.1321933
88,0,1710159864.1326153
89,0,1710159864.1330569
90,0,1710159864.1335814
91,0,1710159864.1340199
92,0,1710159864.1344266
93,0,1710159864.1348424
94,0,1710159864.1352427
95,0,1710159864.1356683
96,0,1710159864.1360626
97,0,1710159864.1364539
98,0,1710159864.136837
99,0,1710159864.13732
100,0,1710159864.1383708
101,0,1710159864.138915
102,0,1710159864.139568
103,0,1710159864.1401267
104,0,1710159864.1406949
105,0,1710159864.1412823
106,0,1710159864.1418278
107,0,1710159864.1423805
108,0,1710159864.1428633
109,0,1710159864.1433098
110,0,1710159864.1437328
111,0,1710159864.1441314
112,0,1710159864.1445558
113,0,1710159864.1449523
114,0,1710159864.145474
115,0,1710159864.14589
116,0,1710159864.146286
117,0,1710159864.1467128
118,0,1710159864.1471586
119,0,1710159864.1477075
120,0,1710159864.1481504
121,0,1710159864.1485596
122,0,1710159864.1489525
123,0,1710159864.1493433
124,0,1710159864.1497624
125,0,1710159864.1501641
126,0,1710159864.1505692
127,0,1710159864.1509998
128,0,1710159864.151406
129,0,1710159864.1518023
130,0,1710159864.1521895
131,0,1710159864.1525996
132,0,1710159864.1530035
