,ID,time,speech
0,000000,1710159854.3086874,
1,000001,1710159854.309027,
2,000002,1710159854.309334,
3,000003,1710159854.309613,
4,000004,1710159854.309735,
5,000005,1710159854.309934,
6,000006,1710159854.310078,
7,000007,1710159854.3102202,
8,000008,1710159854.3103676,
9,000009,1710159854.310493,
10,000010,1710159854.3106182,
11,000011,1710159854.3107448,
12,000012,1710159854.3108625,
13,000013,1710159854.310995,
14,000014,1710159854.311774,
15,000015,1710159854.3163977,
16,000016,1710159854.317984,
17,000017,1710159854.318129,
18,000018,1710159854.3183222,
19,000019,1710159854.318488,
20,000020,1710159854.3187444,
21,000021,1710159854.3188436,
22,000022,1710159854.3190112,
23,000023,1710159854.319138,
24,000024,1710159854.3193407,
25,000025,1710159854.3194566,
26,000026,1710159854.3202314,
27,000027,1710159854.321215,
28,000028,1710159854.3243866,
29,000029,1710159854.3269181,
30,000030,1710159854.3270562,
31,000031,1710159854.3271863,
32,000032,1710159854.3272986,
33,000033,1710159854.327414,
34,000034,1710159854.327539,
35,000035,1710159854.328059,
36,000036,1710159854.3525987,
37,000037,1710159854.4075334,
38,000038,1710159854.4710894,
39,000039,1710159854.5374925,
40,000040,1710159854.6230404,
41,000041,1710159854.7052138,
42,000042,1710159854.7737775,
43,000043,1710159854.8624175,
44,000044,1710159854.9403791,
45,000045,1710159855.0024455,
46,000046,1710159855.0823803,
47,000047,1710159855.1393898,
48,000048,1710159855.2094784,
49,000049,1710159855.2730198,
50,000050,1710159855.346244,
51,000051,1710159855.4041576,
52,000052,1710159855.4754763,
53,000053,1710159855.5373843,
54,000054,1710159855.6273224,
55,000055,1710159855.709205,
56,000056,1710159855.7704175,
57,000057,1710159855.8536115,
58,000058,1710159855.9421046,
59,000059,1710159856.0050387,
60,000060,1710159856.081163,
61,000061,1710159856.1397848,
62,000062,1710159856.200347,
63,000063,1710159856.2679365,
64,000064,1710159856.3440228,
65,000065,1710159856.4127562,
66,000066,1710159856.5250597,
67,000067,1710159856.6275208,
68,000068,1710159856.7176633,
69,000069,1710159856.805071,
70,000070,1710159856.9821513,
71,000071,1710159857.0507379,
72,000072,1710159857.1107628,
73,000073,1710159857.1777039,
74,000074,1710159857.2654274,
75,000075,1710159857.351903,
76,000076,1710159857.4087794,
77,000077,1710159857.4927008,
78,000078,1710159857.5733058,
79,000079,1710159857.6987793,
80,000080,1710159857.770953,
81,000081,1710159857.8420877,
82,000082,1710159857.9258265,
83,000083,1710159858.00954,
84,000084,1710159858.087551,
85,000085,1710159858.1721792,
86,000086,1710159858.2492716,
87,000087,1710159858.305472,
88,000088,1710159858.4162443,
89,000089,1710159858.481002,
90,000090,1710159858.5470653,
91,000091,1710159858.6036777,
92,000092,1710159858.6665215,
93,000093,1710159858.7363236,
94,000094,1710159858.805645,
95,000095,1710159858.9080667,
96,000096,1710159858.9834445,
97,000097,1710159859.0518336,
98,000098,1710159859.1074297,
99,000099,1710159859.185025,
100,000100,1710159859.2889078,
101,000101,1710159859.3753674,
102,000102,1710159859.4465823,
103,000103,1710159859.5440893,
104,000104,1710159859.617965,
105,000105,1710159859.6857233,
106,000106,1710159859.7690535,
107,000107,1710159859.83671,
108,000108,1710159859.897766,
109,000109,1710159859.965412,
110,000110,1710159860.0443308,
111,000111,1710159860.1036687,
112,000112,1710159860.1722984,
113,000113,1710159860.2388027,
114,000114,1710159860.3038874,
115,000115,1710159860.370047,
116,000116,1710159860.461579,
117,000117,1710159860.5386317,
