;trial_number;first_item;second_item;congruent;direction;start;end;trial_id;result;valid;reason;duration
181;13;speech;tablet;True;left;2024-03-20 11:19:47.946863174;2024-03-20 11:19:51.949018955;13;False;False;overtime;1970-01-01 00:00:04.001068830
182;14;speech;tablet;False;right;2024-03-20 11:19:56.615986347;2024-03-20 11:20:00.618223667;14;False;False;overtime;1970-01-01 00:00:04.000331402
183;15;speech;tablet;False;left;2024-03-20 11:20:05.294508219;2024-03-20 11:20:09.295663595;15;False;False;overtime;1970-01-01 00:00:04.000109196
184;16;tablet;gesture;True;right;2024-03-20 11:20:13.979592085;2024-03-20 11:20:17.981857300;16;False;False;overtime;1970-01-01 00:00:04.001174212
185;17;tablet;gesture;True;left;2024-03-20 11:20:22.952210665;2024-03-20 11:20:26.954228878;17;False;False;overtime;1970-01-01 00:00:04.000291824
186;18;tablet;gesture;True;right;2024-03-20 11:20:31.663410425;2024-03-20 11:20:35.665674925;18;False;False;overtime;1970-01-01 00:00:04.000458956
187;19;speech;tablet;True;right;2024-03-20 11:20:40.338876963;2024-03-20 11:20:44.339938879;19;False;False;overtime;1970-01-01 00:00:04.000359058
188;20;tablet;gesture;False;right;2024-03-20 11:20:49.028460264;2024-03-20 11:20:53.030204535;20;False;False;overtime;1970-01-01 00:00:04.000882387
189;21;speech;gesture;True;right;2024-03-20 11:20:57.692333937;2024-03-20 11:21:01.695479631;21;False;False;overtime;1970-01-01 00:00:04.001183510
190;22;speech;gesture;True;left;2024-03-20 11:21:06.359408617;2024-03-20 11:21:10.361224413;22;False;False;overtime;1970-01-01 00:00:04.000277758
191;23;speech;tablet;True;left;2024-03-20 11:21:15.028102398;2024-03-20 11:21:19.030217886;23;False;False;overtime;1970-01-01 00:00:04.000713587
192;0;tablet;gesture;False;right;2024-03-20 11:21:46.407068014;2024-03-20 11:21:50.409399271;0;False;False;overtime;1970-01-01 00:00:04.001015902
193;1;tablet;gesture;False;right;2024-03-20 11:21:55.109335184;2024-03-20 11:21:59.111178398;1;False;False;overtime;1970-01-01 00:00:04.001002789
194;2;speech;tablet;True;left;2024-03-20 11:22:03.768461466;2024-03-20 11:22:07.770177126;2;False;False;overtime;1970-01-01 00:00:04.000576735
195;3;speech;gesture;False;right;2024-03-20 11:22:12.442834377;2024-03-20 11:22:16.444837570;3;False;False;overtime;1970-01-01 00:00:04.001126051
196;4;speech;gesture;True;left;2024-03-20 11:22:21.119029522;2024-03-20 11:22:25.120605230;4;False;False;overtime;1970-01-01 00:00:04.000225782
197;5;tablet;gesture;True;right;2024-03-20 11:22:29.803816557;2024-03-20 11:22:33.805615187;5;False;False;overtime;1970-01-01 00:00:04.000090599
198;6;speech;gesture;True;right;2024-03-20 11:22:38.479580879;2024-03-20 11:22:42.481506586;6;False;False;overtime;1970-01-01 00:00:04.000336885
199;7;speech;tablet;True;left;2024-03-20 11:22:47.144563913;2024-03-20 11:22:51.147283316;7;False;False;overtime;1970-01-01 00:00:04.000653505
200;8;speech;gesture;True;right;2024-03-20 11:22:55.806905031;2024-03-20 11:22:59.809324980;8;False;False;overtime;1970-01-01 00:00:04.000828505
201;9;speech;tablet;False;left;2024-03-20 11:23:04.468630075;2024-03-20 11:23:08.471352577;9;False;False;overtime;1970-01-01 00:00:04.001178503
202;10;tablet;gesture;True;left;2024-03-20 11:23:13.164188862;2024-03-20 11:23:17.165609837;10;False;False;overtime;1970-01-01 00:00:04.000387430
203;11;speech;tablet;False;left;2024-03-20 11:23:21.826741934;2024-03-20 11:23:25.829138279;11;False;False;overtime;1970-01-01 00:00:04.000812769
204;12;tablet;gesture;False;left;2024-03-20 11:23:30.515320538;2024-03-20 11:23:34.517117976;12;False;False;overtime;1970-01-01 00:00:04.000568151
205;13;speech;gesture;True;left;2024-03-20 11:23:39.184868813;2024-03-20 11:23:43.186916590;13;False;False;overtime;1970-01-01 00:00:04.000474691
206;14;speech;tablet;True;right;2024-03-20 11:23:47.847813368;2024-03-20 11:23:51.850309610;14;False;False;overtime;1970-01-01 00:00:04.000649452
207;15;speech;tablet;True;right;2024-03-20 11:23:56.517760277;2024-03-20 11:24:00.519279242;15;False;False;overtime;1970-01-01 00:00:04.000212669
208;16;speech;gesture;False;right;2024-03-20 11:24:05.176424265;2024-03-20 11:24:09.178556681;16;False;False;overtime;1970-01-01 00:00:04.000716925
209;17;speech;tablet;False;right;2024-03-20 11:24:13.835892677;2024-03-20 11:24:17.839242458;17;False;False;overtime;1970-01-01 00:00:04.000025988
210;18;tablet;gesture;True;left;2024-03-20 11:24:22.533525229;2024-03-20 11:24:26.535185574;18;False;False;overtime;1970-01-01 00:00:04.000854969
211;19;speech;gesture;False;left;2024-03-20 11:24:31.193308115;2024-03-20 11:24:35.195345879;19;False;False;overtime;1970-01-01 00:00:04.000678062
212;20;tablet;gesture;False;left;2024-03-20 11:24:39.891811848;2024-03-20 11:24:43.892921448;20;False;False;overtime;1970-01-01 00:00:04.000039339
213;21;tablet;gesture;True;right;2024-03-20 11:24:48.577784061;2024-03-20 11:24:52.579375267;21;False;False;overtime;1970-01-01 00:00:04.000492572
214;22;speech;tablet;False;right;2024-03-20 11:24:57.250046967;2024-03-20 11:25:01.251671313;22;False;False;overtime;1970-01-01 00:00:04.000474930
215;23;speech;gesture;False;left;2024-03-20 11:25:05.911380291;2024-03-20 11:25:09.913759947;23;False;False;overtime;1970-01-01 00:00:04.000334501
216;0;speech;gesture;False;right;2024-03-20 11:25:31.405270576;2024-03-20 11:25:35.407956839;0;False;False;overtime;1970-01-01 00:00:04.000981331
217;1;tablet;gesture;True;left;2024-03-20 11:25:40.092857122;2024-03-20 11:25:44.095378637;1;False;False;overtime;1970-01-01 00:00:04.000852585
218;2;speech;tablet;False;left;2024-03-20 11:25:48.759454489;2024-03-20 11:25:52.762091637;2;False;False;overtime;1970-01-01 00:00:04.000873566
219;3;speech;tablet;True;left;2024-03-20 11:25:57.424023867;2024-03-20 11:26:01.426816702;3;False;False;overtime;1970-01-01 00:00:04.001194715
220;4;speech;tablet;False;right;2024-03-20 11:26:06.088052988;2024-03-20 11:26:10.090422153;4;False;False;overtime;1970-01-01 00:00:04.000831366
221;5;tablet;gesture;False;right;2024-03-20 11:26:14.776648283;2024-03-20 11:26:18.779033422;5;False;False;overtime;1970-01-01 00:00:04.000648499
222;6;speech;tablet;False;right;2024-03-20 11:26:23.442982435;2024-03-20 11:26:27.444539309;6;False;False;overtime;1970-01-01 00:00:04.000332355
223;7;tablet;gesture;False;left;2024-03-20 11:26:32.123673677;2024-03-20 11:26:36.125131368;7;False;False;overtime;1970-01-01 00:00:04.000302076
224;8;speech;gesture;False;right;2024-03-20 11:26:40.797804594;2024-03-20 11:26:44.799632788;8;False;False;overtime;1970-01-01 00:00:04.000858545
225;9;tablet;gesture;False;left;2024-03-20 11:26:49.488045454;2024-03-20 11:26:53.489793301;9;False;False;overtime;1970-01-01 00:00:04.000653505
226;10;speech;gesture;True;left;2024-03-20 11:26:58.160130501;2024-03-20 11:27:02.161528587;10;False;False;overtime;1970-01-01 00:00:04.000002146
227;11;tablet;gesture;True;left;2024-03-20 11:27:06.910425186;2024-03-20 11:27:10.911777020;11;False;False;overtime;1970-01-01 00:00:04.000627279
228;12;speech;gesture;False;left;2024-03-20 11:27:15.569490910;2024-03-20 11:27:19.571325302;12;False;False;overtime;1970-01-01 00:00:04.000270605
229;13;tablet;gesture;False;right;2024-03-20 11:27:24.257244348;2024-03-20 11:27:28.258692503;13;False;False;overtime;1970-01-01 00:00:04.000117064
230;14;tablet;gesture;True;right;2024-03-20 11:27:32.947123766;2024-03-20 11:27:36.948702812;14;False;False;overtime;1970-01-01 00:00:04.000083923
231;15;speech;tablet;True;left;2024-03-20 11:27:41.607882261;2024-03-20 11:27:45.609731674;15;False;False;overtime;1970-01-01 00:00:04.000112295
232;16;speech;gesture;True;left;2024-03-20 11:27:50.282979012;2024-03-20 11:27:54.284533739;16;False;False;overtime;1970-01-01 00:00:04.000087976
233;17;speech;gesture;True;right;2024-03-20 11:27:58.950678110;2024-03-20 11:28:02.952494144;17;False;False;overtime;1970-01-01 00:00:04.000818014
234;18;speech;tablet;False;left;2024-03-20 11:28:07.612599611;2024-03-20 11:28:11.614362478;18;False;False;overtime;1970-01-01 00:00:04.000446796
235;19;speech;gesture;False;left;2024-03-20 11:28:16.279052973;2024-03-20 11:28:20.281147242;19;False;False;overtime;1970-01-01 00:00:04.000114202
236;20;speech;tablet;True;right;2024-03-20 11:28:24.943881512;2024-03-20 11:28:28.946147680;20;False;False;overtime;1970-01-01 00:00:04.000669241
237;21;speech;tablet;True;right;2024-03-20 11:28:33.612517595;2024-03-20 11:28:37.614555836;21;False;False;overtime;1970-01-01 00:00:04.000777483
238;22;tablet;gesture;True;right;2024-03-20 11:28:42.301913738;2024-03-20 11:28:46.302717686;22;False;False;overtime;1970-01-01 00:00:04.000029564
239;23;speech;gesture;True;right;2024-03-20 11:28:50.974425077;2024-03-20 11:28:54.976659298;23;False;False;overtime;1970-01-01 00:00:04.000465631
